"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"1231","which",709.2S,738S,16,"TRUMP:","Yes",1231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1232","we",709.2S,738S,16,"TRUMP:","Yes",1232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1233","don’t",709.2S,738S,16,"TRUMP:","Yes",1233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1234","have",709.2S,738S,16,"TRUMP:","Yes",1234,5.86,2.03,3.52,2.04,5.72,2.3,NA,NA,NA,NA,NA,NA,NA
"1235","now",709.2S,738S,16,"TRUMP:","Yes",1235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1236","people",709.2S,738S,16,"TRUMP:","Yes",1236,5.7,2.01,3.77,2.34,5.4,2.19,NA,7.33,1.7,5.94,2.09,6.14,2.02
"1237","are",709.2S,738S,16,"TRUMP:","Yes",1237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1238","pouring",709.2S,738S,16,"TRUMP:","Yes",1238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1239","into",709.2S,738S,16,"TRUMP:","Yes",1239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1240","our",709.2S,738S,16,"TRUMP:","Yes",1240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1241","country",709.2S,738S,16,"TRUMP:","Yes",1241,6.14,1.67,3.71,2.47,6.35,2.03,NA,5.93,1.91,5.26,1.93,5.96,1.93
"1242","and",709.2S,738S,16,"TRUMP:","Yes",1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1243","they’re",709.2S,738S,16,"TRUMP:","Yes",1243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1244","coming",709.2S,738S,16,"TRUMP:","Yes",1244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1245","in",709.2S,738S,16,"TRUMP:","Yes",1245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1246","from",709.2S,738S,16,"TRUMP:","Yes",1246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1247","the",709.2S,738S,16,"TRUMP:","Yes",1247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1248","middle",709.2S,738S,16,"TRUMP:","Yes",1248,5.22,1.48,2.85,2.06,5.11,1.49,NA,NA,NA,NA,NA,NA,NA
"1249","east",709.2S,738S,16,"TRUMP:","Yes",1249,6.33,1.57,2.5,1.76,5.17,2.09,NA,NA,NA,NA,NA,NA,NA
"1250","and",709.2S,738S,16,"TRUMP:","Yes",1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1251","other",709.2S,738S,16,"TRUMP:","Yes",1251,5.41,1.59,3.48,2.27,6,2.09,NA,NA,NA,NA,NA,NA,NA
"1252","places",709.2S,738S,16,"TRUMP:","Yes",1252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1253","we’re",709.2S,738S,16,"TRUMP:","Yes",1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1254","going",709.2S,738S,16,"TRUMP:","Yes",1254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1255","to",709.2S,738S,16,"TRUMP:","Yes",1255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1256","make",709.2S,738S,16,"TRUMP:","Yes",1256,6.09,1.6,3.67,2.33,6.22,2.32,NA,NA,NA,NA,NA,NA,NA
"1257","america",709.2S,738S,16,"TRUMP:","Yes",1257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1258","safe",709.2S,738S,16,"TRUMP:","Yes",1258,7.7,1.57,3.14,2.6,7.21,1.88,1,7.07,1.9,3.86,2.72,5.81,2.06
"1259","again",709.2S,738S,16,"TRUMP:","Yes",1259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1260","we’re",709.2S,738S,16,"TRUMP:","Yes",1260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1261","going",709.2S,738S,16,"TRUMP:","Yes",1261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262","to",709.2S,738S,16,"TRUMP:","Yes",1262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1263","make",709.2S,738S,16,"TRUMP:","Yes",1263,6.09,1.6,3.67,2.33,6.22,2.32,NA,NA,NA,NA,NA,NA,NA
"1264","america",709.2S,738S,16,"TRUMP:","Yes",1264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1265","great",709.2S,738S,16,"TRUMP:","Yes",1265,7.5,1.92,4.14,2.69,6.65,1.84,3,NA,NA,NA,NA,NA,NA
"1266","again",709.2S,738S,16,"TRUMP:","Yes",1266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1267","but",709.2S,738S,16,"TRUMP:","Yes",1267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1268","we’re",709.2S,738S,16,"TRUMP:","Yes",1268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1269","going",709.2S,738S,16,"TRUMP:","Yes",1269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1270","to",709.2S,738S,16,"TRUMP:","Yes",1270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1271","make",709.2S,738S,16,"TRUMP:","Yes",1271,6.09,1.6,3.67,2.33,6.22,2.32,NA,NA,NA,NA,NA,NA,NA
"1272","america",709.2S,738S,16,"TRUMP:","Yes",1272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1273","safe",709.2S,738S,16,"TRUMP:","Yes",1273,7.7,1.57,3.14,2.6,7.21,1.88,1,7.07,1.9,3.86,2.72,5.81,2.06
"1274","again",709.2S,738S,16,"TRUMP:","Yes",1274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1275","and",709.2S,738S,16,"TRUMP:","Yes",1275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1276","we’re",709.2S,738S,16,"TRUMP:","Yes",1276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1277","going",709.2S,738S,16,"TRUMP:","Yes",1277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
