"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Debate","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"159","on",104S,267.1S,1,"Lehrer:","No",1,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","the",104S,267.1S,1,"Lehrer:","No",1,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","economy",104S,267.1S,1,"Lehrer:","No",1,161,3.64,1.89,5.32,2.23,4.16,1.8,NA,NA,NA,NA,NA,NA,NA
"162","and",104S,267.1S,1,"Lehrer:","No",1,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","one",104S,267.1S,1,"Lehrer:","No",1,163,6.09,2.07,2.67,2.01,5.56,2.45,NA,NA,NA,NA,NA,NA,NA
"164","each",104S,267.1S,1,"Lehrer:","No",1,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","on",104S,267.1S,1,"Lehrer:","No",1,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","health",104S,267.1S,1,"Lehrer:","No",1,166,6.85,1.63,3.48,2.19,6,1.81,NA,6.81,1.88,5.13,2.35,5.83,1.91
"167","care",104S,267.1S,1,"Lehrer:","No",1,167,7.64,1.29,2.67,1.85,6.56,1.85,2,7.53,1.36,6.03,1.87,6.37,1.73
"168","the",104S,267.1S,1,"Lehrer:","No",1,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","role",104S,267.1S,1,"Lehrer:","No",1,169,5.1,0.97,4.4,2.54,5.36,2.04,NA,6.11,1.31,4.61,2.17,5.68,1.85
"170","of",104S,267.1S,1,"Lehrer:","No",1,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","government",104S,267.1S,1,"Lehrer:","No",1,171,3.78,1.73,3.75,2.2,3.11,1.81,NA,4.28,1.89,5.25,2,3.62,2.08
"172","and",104S,267.1S,1,"Lehrer:","No",1,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","governing",104S,267.1S,1,"Lehrer:","No",1,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
